category,tag,display,description
Hobby Activities,stripping,Stripping,Stripping paint from miniatures to repaint or rescue old models.
Hobby Activities,terrain,Terrain,Building and painting terrain pieces for tabletop gaming.
Hobby Activities,workspace,Workspace,"Hobby workspace setup, organization, and optimization."
Content Types,battle-report,Battle Report,Game reports and battle recaps from tabletop gaming sessions.
Content Types,buying-selling,Buying & Selling,"Tips and content about buying, selling, and trading miniatures."
Content Types,campaign,Campaign,Content related to ongoing tabletop RPG campaigns.
Content Types,competition,Competition,Painting and modeling competitions.
Content Types,event-photos,Event Photos,Photos and coverage from gaming events and tournaments.
Content Types,giveaway,Giveaway,Giveaways and community contests.
Content Types,hobby-motivation,Hobby Motivation,Motivational content about staying inspired and productive in the hobby.
Content Types,live-stream,Live Stream,Recordings and content from live streaming sessions.
Content Types,resources,Resources,"Helpful resources, guides, and reference materials for hobbyists."
Content Types,review,Review,"Reviews of games, models, paints, and hobby products."
Content Types,rpg-session,RPG Session,Tabletop RPG actual play sessions and campaign content.
Content Types,showcase,Showcase,Showcasing finished miniatures and completed projects.
Content Types,strategy,Strategy,Tactical and strategic content for tabletop gaming.
Content Types,tips,Tips,Quick tips and advice for miniature painting and hobbying.
Content Types,tutorial,Tutorial,Step-by-step guides and instructional content for painting and hobbying.
Content Types,unboxing,Unboxing,Unboxing and first looks at new miniatures and hobby products.
Content Types,vlog,Vlog,"Video blog content covering hobby progress, thoughts, and updates."
Content Types,work-in-progress,Work in Progress,Work-in-progress updates on ongoing painting and hobby projects.
Brands & Products,army-painter,The Army Painter,Content using The Army Painter paints and products.
Brands & Products,liquid-chrome,Liquid Chrome,Content using Molotow Liquid Chrome and similar chrome-finish products.
Brands & Products,scale-75,Scale75,Content using Scale75 paints and products.
Brands & Products,vallejo,Vallejo,Content using Vallejo paints and products.
